item,itemLabel
http://www.wikidata.org/entity/Q178869,One Hundred Years of Solitude
http://www.wikidata.org/entity/Q499396,Love in the Time of Cholera
http://www.wikidata.org/entity/Q820591,The Story of a Shipwrecked Sailor
http://www.wikidata.org/entity/Q935935,Chronicle of a Death Foretold
http://www.wikidata.org/entity/Q961566,The Autumn of the Patriarch
http://www.wikidata.org/entity/Q1132408,No One Writes to the Colonel
