author,place of birth,pob_Latitude,pob_Longitude,country of citizenship,coc_Latitude,coc_Longitude,authorLabel,work,workTitle
Jean-Louis Grosmaire,Abidjan,5.3363888888889,-4.0266666666667,Canada,56,-109,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124956767,L'homme qui regardait vers l'Ouest
Jean-Louis Grosmaire,Abidjan,5.3363888888889,-4.0266666666667,Canada,56,-109,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124956945,Paris-New York
Soraya Benhaddad,Algeria,28,1,Canada,56,-109,Soraya Benhaddad,http://www.wikidata.org/entity/Q124956962,Le Fantôme tourmenté
Melchior Mbonimpa,Burundi,-3.666667,29.816667,Canada,56,-109,Melchior Mbonimpa,http://www.wikidata.org/entity/Q124956961,Le Dernier Roi faiseur de pluie
Anne Brouillard,Leuven,50.8775,4.704444,Belgium,50.641111111111,4.6680555555556,Anne Brouillard,http://www.wikidata.org/entity/Q124956978,L'homme qui était sans couleurs
Mila Younes,Saint-Denis,48.935555555556,2.3538888888889,Canada,56,-109,Mila Younes,http://www.wikidata.org/entity/Q124956979,"Ma Mère, ma Fille, ma Sœur"
,,,,France,47,2,,,
Françoise Enguehard,Saint Pierre and Miquelon,46.85,-56.3,France,47,2,Françoise Enguehard,http://www.wikidata.org/entity/Q124956761,Le Trésor d'Elvis Bozec
,,,,Canada,56,-109,,,
Françoise Lepage,Saint-Amand-Montrond,46.722777777778,2.505,France,47,2,Françoise Lepage,http://www.wikidata.org/entity/Q124956959,Sébastien de French Hill
Évelyne Voldeng,Brittany,48,-3,France,47,2,Évelyne Voldeng,http://www.wikidata.org/entity/Q124956763,Le Violeur à la fleur d'artichaut
Ahmad Saidullah,Ottawa,45.424722222222,-75.695,Canada,56,-109,Ahmad Saidullah,http://www.wikidata.org/entity/Q124956588,Le Bonheur et autres troubles
,,,,India,22.8,83,,,
Samia Khalifé,Lebanon,33.833333,35.766667,Lebanon,33.833333,35.766667,Samia Khalifé,http://www.wikidata.org/entity/Q124956638,Une crise à Éden
,,,,Canada,56,-109,,,
Pierre Léon,Ligré,47.112222222222,0.27527777777778,France,47,2,Pierre Léon,http://www.wikidata.org/entity/Q124956698,Le Pied de Dieu
Maurice Henrie,Rockland,45.55,-75.2833,France,47,2,Maurice Henrie,http://www.wikidata.org/entity/Q124956646,Une ville lointaine
,,,,Canada,56,-109,,,
Gernot Nebel,Austria,48,14,Canada,56,-109,Gernot Nebel,http://www.wikidata.org/entity/Q124956702,Lieu d'être
Diya Lim,Mauritius,-20.2,57.5,Canada,56,-109,Diya Lim,http://www.wikidata.org/entity/Q124956584,Larouspiol suivi de Les enfants du ciel
Jean Mohsen Fahmy,Cairo,30.044444444444444,31.235833333333332,Canada,56,-109,Jean Mohsen Fahmy,http://www.wikidata.org/entity/Q124956716,Ibn Khaldoun
Eugène Bénito Estigène,Haiti,19,-72.8,Haiti,19,-72.8,Q124219400,http://www.wikidata.org/entity/Q124956707,Mémoire d'une nuit à genoux
,,,,Canada,56,-109,,,
Yves Antoine,Haiti,19,-72.8,Haiti,19,-72.8,Yves Antoine,http://www.wikidata.org/entity/Q124956746,La Mémoire à fleur de peau
Carlos Taveira,Angola,-12.35,17.35,Canada,56,-109,Carlos Taveira,http://www.wikidata.org/entity/Q124957707,Mots et Marées
,,,,Angola,-12.35,17.35,,,
Jean-François Somain,Paris,48.85666666666667,2.352222222222222,France,47,2,Jean-François Somain,http://www.wikidata.org/entity/Q124957540,Tranches de soleil
Martine L. Jacquot,La Ferté-Gaucher,48.7825,3.3052777777778,France,47,2,Martine L. Jacquot,http://www.wikidata.org/entity/Q124957706,Les oiseaux de nuit finissent aussi par s'endormir
Maurice Henrie,Rockland,45.55,-75.2833,France,47,2,Maurice Henrie,http://www.wikidata.org/entity/Q124957579,Les Roses et le Verglas
,,,,Canada,56,-109,,,
Diya Lim,Mauritius,-20.2,57.5,Canada,56,-109,Diya Lim,http://www.wikidata.org/entity/Q124957672,L'arbre qui voulait être entendu
Blaise Ndala,Democratic Republic of the Congo,-2.88,23.656111111111112,Canada,56,-109,Blaise Ndala,http://www.wikidata.org/entity/Q124957654,J'irai danser sur la tombe de Senghor
Jean Mohsen Fahmy,Cairo,30.044444444444444,31.235833333333332,Canada,56,-109,Jean Mohsen Fahmy,http://www.wikidata.org/entity/Q124957666,L'Agonie des dieux
Annick Perrot-Bishop,Vietnam,16,108,Canada,56,-109,Annick Perrot-Bishop,http://www.wikidata.org/entity/Q124957653,En longues rivières cachées
Safiatou Ba,Kati,12.746666666667,-8.0713888888889,Mali,17,-4,Safiatou Ba,http://www.wikidata.org/entity/Q133460742,"Ah ! nos maris, ces grands inconnus !"
Luc Jouret,Kikwit,-5.0333333333333,18.816666666667,Belgium,50.641111111111,4.6680555555556,Luc Jouret,http://www.wikidata.org/entity/Q131441871,Médecine et conscience
,,,,France,47,2,,,
,,,,Canada,56,-109,,,
Éric de Belleval,Paris,48.85666666666667,2.352222222222222,Canada,56,-109,Éric de Belleval,http://www.wikidata.org/entity/Q124956573,Incisions
Angèle Bassolé-Ouédraogo,Abidjan,5.3363888888889,-4.0266666666667,Ivory Coast,8,-6,Angèle Bassolé-Ouédraogo,http://www.wikidata.org/entity/Q124958163,Yennenga
,,,,Canada,56,-109,,,
Jean Mohsen Fahmy,Cairo,30.044444444444444,31.235833333333332,Canada,56,-109,Jean Mohsen Fahmy,http://www.wikidata.org/entity/Q124958372,Alexandre et les trafiquants du désert
Jacqueline Barral,France,47,2,Canada,56,-109,Jacqueline Barral,http://www.wikidata.org/entity/Q124958320,Jongleries
,,,,France,47,2,,,
Brigitte Haentjens,Paris,48.85666666666667,2.352222222222222,France,47,2,Brigitte Haentjens,http://www.wikidata.org/entity/Q124958161,Une femme comblée
Gilbert Troutet,Switzerland,46.798562,8.231973,Canada,56,-109,Gilbert Troutet,http://www.wikidata.org/entity/Q124957823,Mots et Cris
,,,,Switzerland,46.798562,8.231973,,,
Claire Silvera Rochon,Ottawa,45.424722222222,-75.695,France,47,2,Claire Silvera Rochon,http://www.wikidata.org/entity/Q124958370,Aimons-nous d'humour
,,,,Canada,56,-109,,,
Gérard Bertolini,,,,France,47,2,Gérard Bertolini,http://www.wikidata.org/entity/Q124958344,La Poubelle et le Recyclage à petits pas
Vittorio Frigerio,Mendrisio,45.866666666667,8.9833333333333,Italy,42.5,12.5,Vittorio Frigerio,http://www.wikidata.org/entity/Q124957824,Naufragé en terre ferme
,,,,Switzerland,46.798562,8.231973,,,
,,,,Canada,56,-109,,,
Vittorio Frigerio,Mendrisio,45.866666666667,8.9833333333333,Italy,42.5,12.5,Vittorio Frigerio,http://www.wikidata.org/entity/Q124958329,La Dernière Ligne droite
,,,,Switzerland,46.798562,8.231973,,,
,,,,Canada,56,-109,,,
Marcelle McGibbon,Toronto,43.670277777778,-79.386666666667,Canada,56,-109,Marcelle McGibbon,http://www.wikidata.org/entity/Q124958351,La Rumeur du fleuve
,,,,France,47,2,,,
Monique Genuist,Lorraine,48.6,6.4872222222222,France,47,2,Monique Genuist,http://www.wikidata.org/entity/Q124958310,Itinérance
,,,,Canada,56,-109,,,
Martine Périat,Franche-Comté,47,6,France,47,2,Martine Périat,http://www.wikidata.org/entity/Q124958325,Kalladimoun
Urbain-Marie Yonekawa,Saint-Narcisse,46.5667,-72.4667,Canada,56,-109,Urbain-Marie Yonekawa,http://www.wikidata.org/entity/Q108713474,Propos japonais
,,,,Japan,35,136,,,
Cheyda Haramein,Geneva,46.2,6.15,Canada,56,-109,Cheyda Haramein,http://www.wikidata.org/entity/Q117830743,Le Porteur de rêves
,,,,Switzerland,46.798562,8.231973,,,
Ricarson Dorcé,Petit-Goâve,18.431388888889,-72.866944444444,Haiti,19,-72.8,Ricarson Dorcé,http://www.wikidata.org/entity/Q117857296,Les Classiques des sciences sociales : 25 ans de partage des savoirs dans la francophonie
Clément Magloire-Saint-Aude,Port-au-Prince,18.546944444444446,-72.34027777777777,Haiti,19,-72.8,Clément Magloire-Saint-Aude,http://www.wikidata.org/entity/Q106582950,
Marie-Leontine Tsibinda,Kouilou Department,-4.233333333333333,11.933333333333334,Republic of the Congo,-0.75,15.383330555556,Marie-Leontine Tsibinda,http://www.wikidata.org/entity/Q124958392,En dépit des frontières linguistiques
,,,,Canada,56,-109,,,
"Sir Robert Milnes, 1st Baronet",England,53,-1,Kingdom of Great Britain,51.5,-0.13333333,"Sir Robert Milnes, 1st Baronet",http://www.wikidata.org/entity/Q22811578,"Édits, ordonnances royaux, déclarations et arrêts du Conseil d'État du Roi concernant le Canada"
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
Raphaël Weyland,Paris,48.85666666666667,2.352222222222222,Canada,56,-109,Raphaël Weyland,http://www.wikidata.org/entity/Q109600246,Le Moyen-Orient: des croisades aux Ottomans
Nicholas Culpeper,Surrey,51.25,-0.45,United Kingdom,54.6,-2,Nicholas Culpeper,http://www.wikidata.org/entity/Q51388548,"The British herbal and family physician: To which is added, a dispensatory for the use of private families"
Nicholas Culpeper,Surrey,51.25,-0.45,United Kingdom,54.6,-2,Nicholas Culpeper,http://www.wikidata.org/entity/Q51408635,"The British herbal and family physician: To which is added, a dispensatory for the use of private families"
Charles Crossland,Halifax,53.725,-1.863,United Kingdom,54.6,-2,Charles Crossland,http://www.wikidata.org/entity/Q51385757,The flora of the parish of Halifax
Jules Gérard,Pignans,43.300555555556,6.2266666666667,France,47,2,Jules Gérard,http://www.wikidata.org/entity/Q124154563,La Chasse au lion
Arundhati Roy,Shillong,25.574444444444,91.878888888889,India,22.8,83,Arundhati Roy,http://www.wikidata.org/entity/Q124960158,Le Dieu des Petits Riens
George Moore,Ballyglass,54.28161111,-9.38636111,Ireland,53,-8,George Moore,http://www.wikidata.org/entity/Q51480135,Fruit culture in the province of Quebec applying more particularly to the eastern portion thereof
Jean-Marie Klinkenberg,Verviers,50.583333333333,5.85,Belgium,50.641111111111,4.6680555555556,Jean-Marie Klinkenberg,http://www.wikidata.org/entity/Q124957023,Le Sens rhétorique
Jean-Marie Klinkenberg,Verviers,50.583333333333,5.85,Belgium,50.641111111111,4.6680555555556,Jean-Marie Klinkenberg,http://www.wikidata.org/entity/Q124957024,Sept leçons de sémiotique et de rhétorique
Bernhard Fernow,Inowrocław,52.795833333333,18.261111111111,Kingdom of Prussia,53,14,Bernhard Fernow,http://www.wikidata.org/entity/Q51478948,La forêt conférences
,,,,United States,39.828175,-98.5795,,,
Françoise Lepage,Saint-Amand-Montrond,46.722777777778,2.505,France,47,2,Françoise Lepage,http://www.wikidata.org/entity/Q124960660,Histoire de la littérature pour la jeunesse
Pierre Léon,Ligré,47.112222222222,0.27527777777778,France,47,2,Pierre Léon,http://www.wikidata.org/entity/Q124960479,Le Mariage politiquement correct du Petit Chaperon Rouge
Pierre Boileau,9th arrondissement of Paris,48.878280555556,2.3369666666667,France,47,2,Pierre Boileau,http://www.wikidata.org/entity/Q124957035,"Stéphane Beauvais, je t'aime ! K.C."
Philippe Garigue,Manchester,53.466666666667,-2.2333333333333,United Kingdom,54.6,-2,Philippe Garigue,http://www.wikidata.org/entity/Q124957001,Questions de stratégie et de métastratégie
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
,,,,Canada,56,-109,,,
Philippe Garigue,Manchester,53.466666666667,-2.2333333333333,United Kingdom,54.6,-2,Philippe Garigue,http://www.wikidata.org/entity/Q124960148,De la condition humaine
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
,,,,Canada,56,-109,,,
Édouard Glissant,Sainte-Marie,14.781388888889,-60.993611111111,France,47,2,Édouard Glissant,http://www.wikidata.org/entity/Q124960159,Discours de Glendon
Jean-Louis Grosmaire,Abidjan,5.3363888888889,-4.0266666666667,Canada,56,-109,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124956989,Palmiers dans la neige
Jean-Louis Grosmaire,Abidjan,5.3363888888889,-4.0266666666667,Canada,56,-109,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124960663,Il y a toujours du soleil sur la Grande Rivière
Christine Dumitriu Van Saanen,Bucharest,44.41336111111111,26.09777777777778,Canada,56,-109,Christine Dumitriu Van Saanen,http://www.wikidata.org/entity/Q124957037,Sur la réalité
George Lawson,Scotland,57,-5,Canada,56,-109,George Lawson,http://www.wikidata.org/entity/Q51472890,The fern flora of Canada descriptions of all the native ferns of the Dominion with localities where they grow
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
George Lawson,Scotland,57,-5,Canada,56,-109,George Lawson,http://www.wikidata.org/entity/Q51472892,The fern flora of Canada
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
George Lawson,Scotland,57,-5,Canada,56,-109,George Lawson,http://www.wikidata.org/entity/Q51512018,Notice of new and rare plants
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
George Lawson,Scotland,57,-5,Canada,56,-109,George Lawson,http://www.wikidata.org/entity/Q51513946,On the Canadian species of the genus Melilotus
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
Joseph McCabe,Macclesfield,53.2581,-2.1274,United Kingdom,54.6,-2,Joseph McCabe,http://www.wikidata.org/entity/Q51471014,"Evolution, a general sketch, from nebula to man;"
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
George Moore,Ballyglass,54.28161111,-9.38636111,Ireland,53,-8,George Moore,http://www.wikidata.org/entity/Q51461355,Culture des fruits dans la province de Québec et plus particuliè rement dans la partie est de la province
George Moore,Ballyglass,54.28161111,-9.38636111,Ireland,53,-8,George Moore,http://www.wikidata.org/entity/Q51461359,Culture des fruits dans la province de Québec et plus particuliè rement dans la partie est de la province
Ava Farmehri,Iran,32,53,Canada,56,-109,Ava Farmehri,http://www.wikidata.org/entity/Q124961042,Dans la lugubre forêt nos corps seront suspendus
,,,,Iran,32,53,,,
Wajdi Mouawad,Deyr el-Qamar,33.7,35.566666666667,Lebanon,33.833333,35.766667,Wajdi Mouawad,http://www.wikidata.org/entity/Q577474,
,,,,Canada,56,-109,,,
Louenas Hassani,Béjaïa,36.75111111111111,5.064166666666667,Canada,56,-109,Louenas Hassani,http://www.wikidata.org/entity/Q124961067,Fou d'Ahlam
,,,,Algeria,28,1,,,
Jacques Prosper Bazié,Ouagadougou,12.368611111111111,-1.5274999999999999,Burkina Faso,12.266667,-2.066667,Jacques Prosper Bazié,http://www.wikidata.org/entity/Q124960141,Crachin de Rissiam
Bernard Wilhelm,Switzerland,46.798562,8.231973,Canada,56,-109,Bernard Wilhelm,http://www.wikidata.org/entity/Q124957017,S.V.P. racontez-nous votre vie !
,,,,Switzerland,46.798562,8.231973,,,
Daniel Soha,Aix-en-Provence,43.527777777778,5.4455555555556,France,47,2,Daniel Soha,http://www.wikidata.org/entity/Q124960166,Du coeur au ventre
Louis Nicolas,Aubenas,44.619722222222,4.3902777777778,France,47,2,Louis Nicolas,http://www.wikidata.org/entity/Q1106367,Codex canadensis
Gunther Eysenbach,Berlin,52.516666666667,13.383333333333,Germany,51,10,Gunther Eysenbach,http://www.wikidata.org/entity/Q1511162,
Alain Raimbault,Paris,48.85666666666667,2.352222222222222,France,47,2,Alain Raimbault,http://www.wikidata.org/entity/Q124956752,L'Absence au jour
Cherith Baldry,Lancaster,54.04888888888889,-2.801388888888889,United Kingdom,54.6,-2,Cherith Baldry,http://www.wikidata.org/entity/Q1066455,Moonrise
Laurette Lévy,France,47,2,France,47,2,Laurette Lévy,http://www.wikidata.org/entity/Q124958388,Debout en clair-obscur
,,,,Canada,56,-109,,,
Richard Verrall,England,53,-1,United Kingdom,54.6,-2,Richard Verrall,http://www.wikidata.org/entity/Q1123216,Did Six Million Really Die?
Monique Genuist,Lorraine,48.6,6.4872222222222,France,47,2,Monique Genuist,http://www.wikidata.org/entity/Q124956986,Nootka
,,,,Canada,56,-109,,,
Christelle Davis,France,47,2,France,47,2,Christelle Davis,http://www.wikidata.org/entity/Q124961059,Écrire pour un nouveau départ
,,,,Canada,56,-109,,,
Christine Dumitriu Van Saanen,Bucharest,44.41336111111111,26.09777777777778,Canada,56,-109,Christine Dumitriu Van Saanen,http://www.wikidata.org/entity/Q124961070,Les Fruits de la pensée
David Baudemont,Thann,47.806666666667,7.1044444444444,Canada,56,-109,David Baudemont,http://www.wikidata.org/entity/Q124961050,Départs
Devon Clunis,Jamaica,18.18,-77.4,Canada,56,-109,Devon Clunis,http://www.wikidata.org/entity/Q124961092,La Petite Fille qui venait d'Osoyoos
Henryk Sienkiewicz,Wola Okrzejska,51.75,22.1333,Poland,52,19,Henryk Sienkiewicz,http://www.wikidata.org/entity/Q26860012,Огнем і мечем
H.A.L. Craig,County Cork,52,-8.75,Ireland,53,-8,H.A.L. Craig,http://www.wikidata.org/entity/Q51376752,The storing of roots
Georges Bugnet,Chalon-sur-Saône,46.781111111111,4.8538888888889,France,47,2,Georges Bugnet,http://www.wikidata.org/entity/Q124961064,La Forêt
,,,,Canada,56,-109,,,
Sylvain Rivière,Carleton-sur-Mer,48.10166666666667,-66.12194444444444,France,47,2,Sylvain Rivière,http://www.wikidata.org/entity/Q124961007,Ni Dieu ni Diable
Vittorio Frigerio,Mendrisio,45.866666666667,8.9833333333333,Italy,42.5,12.5,Vittorio Frigerio,http://www.wikidata.org/entity/Q124961018,Révolution !
,,,,Switzerland,46.798562,8.231973,,,
,,,,Canada,56,-109,,,
Monique Genuist,Lorraine,48.6,6.4872222222222,France,47,2,Monique Genuist,http://www.wikidata.org/entity/Q124961040,Le Cri du loon
,,,,Canada,56,-109,,,
Hédi Bouraoui,Sfax,34.74,10.76,Canada,56,-109,Hédi Bouraoui,http://www.wikidata.org/entity/Q124957841,Sept portes pour une brûlance
,,,,French protectorate of Tunisia,36.8333,10.15,,,
,,,,Tunisia,34,10,,,
Daouda Dembélé,Ivory Coast,8,-6,Canada,56,-109,Daouda Dembélé,http://www.wikidata.org/entity/Q124960697,Rolihlahla Mandela
,,,,Ivory Coast,8,-6,,,
Jean-Louis Grosmaire,Abidjan,5.3363888888889,-4.0266666666667,Canada,56,-109,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124957828,Paris-Saint-Louis du Sénégal
Serge Salvador,France,47,2,Canada,56,-109,Serge Salvador,http://www.wikidata.org/entity/Q124960675,Le Jardin
,,,,France,47,2,,,
Françoise Lepage,Saint-Amand-Montrond,46.722777777778,2.505,France,47,2,Françoise Lepage,http://www.wikidata.org/entity/Q124960671,La Fileuse de paille
Alain Raimbault,Paris,48.85666666666667,2.352222222222222,France,47,2,Alain Raimbault,http://www.wikidata.org/entity/Q124957829,Partir comme jamais
Évelyne Foëx,France,47,2,France,47,2,Évelyne Foëx,http://www.wikidata.org/entity/Q124960707,Tombent les nuages
,,,,Canada,56,-109,,,
Christine Dumitriu Van Saanen,Bucharest,44.41336111111111,26.09777777777778,Canada,56,-109,Christine Dumitriu Van Saanen,http://www.wikidata.org/entity/Q124957945,Hommage aux origines de la vie suivi de Hémoglobine et chlorophylle
Georges Bugnet,Chalon-sur-Saône,46.781111111111,4.8538888888889,France,47,2,Georges Bugnet,http://www.wikidata.org/entity/Q124960775,Albertaines
,,,,Canada,56,-109,,,
Ivan Bunin,Voronezh,51.671666666667,39.210555555556,Russian Empire,58.65,70.1167,Ivan Bunin,http://www.wikidata.org/entity/Q3224259,Le Marais
,,,,France,47,2,,,
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124960807,Cahier d'activités Petit Paul
,,,,France,47,2,,,
François Dimberton,Villeneuve-Saint-Georges,48.7325,2.4497222222222,France,47,2,François Dimberton,http://www.wikidata.org/entity/Q124960829,Les Crêpes
Maurice Henrie,Rockland,45.55,-75.2833,France,47,2,Maurice Henrie,http://www.wikidata.org/entity/Q124960825,L'EnfanCement
,,,,Canada,56,-109,,,
Alain Raimbault,Paris,48.85666666666667,2.352222222222222,France,47,2,Alain Raimbault,http://www.wikidata.org/entity/Q124960824,L'Éléphant Plume et le Rat Bougri
Jean-Claude Bauer,Haillicourt,50.476111111111,2.5847222222222,France,47,2,Jean-Claude Bauer,http://www.wikidata.org/entity/Q124960829,Les Crêpes
Mario Francis,Kinshasa,-4.321944444444444,15.311944444444444,Canada,56,-109,Mario Francis,http://www.wikidata.org/entity/Q3223989,
Monia Mazigh,Tunisia,34,10,Canada,56,-109,Monia Mazigh,http://www.wikidata.org/entity/Q124960849,Miroirs et Mirages
David Baudemont,Thann,47.806666666667,7.1044444444444,Canada,56,-109,David Baudemont,http://www.wikidata.org/entity/Q124957780,Le Nouveau Tracteur
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124957830,Petit Paul
,,,,France,47,2,,,
Pierre Léon,Ligré,47.112222222222,0.27527777777778,France,47,2,Pierre Léon,http://www.wikidata.org/entity/Q124957799,L'Effrontée de Cuba
Zoran Vanjaka,Split,43.51,16.44,Croatia,45.25,15.466667,Zoran Vanjaka,http://www.wikidata.org/entity/Q124957710,Personnages illustres du Canada
Nathasha Pemba,Pointe-Noire,-4.7975,11.850277777777778,Republic of the Congo,-0.75,15.383330555556,Nathasha Pemba,http://www.wikidata.org/entity/Q124956662,Marie Gérin-Lajoie
Mykhailo Hrushevskyi,Chełm,51.133333333333,23.483333333333,Russian Empire,58.65,70.1167,Mykhailo Hrushevskyi,http://www.wikidata.org/entity/Q104836760,History of Ukraine-Rusʹ
,,,,Russian Republic,,,,,
,,,,Ukrainian People's Republic,50.45,30.5,,,
,,,,Soviet Union,65,90,,,
Charles-Marie-Claude de Bouthillier-Chavigny,Paris,48.85666666666667,2.352222222222222,France,47,2,Charles-Marie-Claude de Bouthillier-Chavigny,http://www.wikidata.org/entity/Q122171895,Justice aux Canadiens-Français !
Charles Perrault,Paris,48.85666666666667,2.352222222222222,Kingdom of France,,,Charles Perrault,http://www.wikidata.org/entity/Q117008312,La Belle au bois dormant
Gabrielle d'Arvor,Lorient,47.745833333333,-3.3663888888889,France,47,2,Gabrielle d'Arvor,http://www.wikidata.org/entity/Q124066953,Dent pour dent
Caroline Dawson,Viña del Mar,-33.0245,-71.5518,Chile,-33,-71,Caroline Dawson,http://www.wikidata.org/entity/Q124904697,Là où je me terre
Alain Raimbault,Paris,48.85666666666667,2.352222222222222,France,47,2,Alain Raimbault,http://www.wikidata.org/entity/Q124957673,Le Ciel en face
Daniel Soha,Aix-en-Provence,43.527777777778,5.4455555555556,France,47,2,Daniel Soha,http://www.wikidata.org/entity/Q124957632,Amour à mort et autres nouvelles
Élisabeth Vonarburg,Paris,48.85666666666667,2.352222222222222,Canada,56,-109,Élisabeth Vonarburg,http://www.wikidata.org/entity/Q2966807,Chroniques du Pays des Mères
,,,,France,47,2,,,
Alberto Prunetti,Piombino,42.934824,10.52212,Italy,42.5,12.5,Alberto Prunetti,http://www.wikidata.org/entity/Q125525820,Odyssée lumpen
Gilles Bouleau,14th arrondissement of Paris,48.833022222222,2.3268888888889,France,47,2,Gilles Bouleau,http://www.wikidata.org/entity/Q128324282,L'Ordre du Temple Solaire
Arnaud Bédat,Porrentruy,47.416666666667,7.0833333333333,Switzerland,46.798562,8.231973,Q2863066,http://www.wikidata.org/entity/Q128324282,L'Ordre du Temple Solaire
Cory Doctorow,Toronto,43.670277777778,-79.386666666667,Canada,56,-109,Cory Doctorow,http://www.wikidata.org/entity/Q3015406,Down and Out in the Magic Kingdom
,,,,United Kingdom,54.6,-2,,,
,,,,United States,39.828175,-98.5795,,,
Cory Doctorow,Toronto,43.670277777778,-79.386666666667,Canada,56,-109,Cory Doctorow,http://www.wikidata.org/entity/Q3015406,Dans la dèche au royaume enchanté
,,,,United Kingdom,54.6,-2,,,
,,,,United States,39.828175,-98.5795,,,
Arthur Hailey,Luton,51.87833333333333,-0.4147222222222222,United Kingdom,54.6,-2,Arthur Hailey,http://www.wikidata.org/entity/Q3045311,Detective
,,,,Canada,56,-109,,,
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
Jean-Baptiste Mubalutila Mbizi,Democratic Republic of the Congo,-2.88,23.656111111111112,Canada,56,-109,Jean-Baptiste Mubalutila Mbizi,http://www.wikidata.org/entity/Q124960836,Les Tribulations de Tila
Toufik El Hadj-Moussa,Algeria,28,1,Canada,56,-109,Toufik El Hadj-Moussa,http://www.wikidata.org/entity/Q124957710,Personnages illustres du Canada
Emma FitzGerald,Lesotho,-29.55,28.25,Canada,56,-109,Emma FitzGerald,http://www.wikidata.org/entity/Q124961131,Sur la rue de Tout-le-Monde
Bathélemy Bolivar,Haiti,19,-72.8,Haiti,19,-72.8,Bathélemy Bolivar,http://www.wikidata.org/entity/Q124957699,Manguiers têtus
,,,,Canada,56,-109,,,
Metka Zupančič,Celje,46.22909194,15.264128741,Slovenia,46,15,Metka Zupančič,http://www.wikidata.org/entity/Q124957798,Lectures de Claude Simon
Dany Laferrière,Port-au-Prince,18.546944444444446,-72.34027777777777,Haiti,19,-72.8,Dany Laferrière,http://www.wikidata.org/entity/Q2986137,Comment faire l'amour avec un nègre sans se fatiguer
,,,,Canada,56,-109,,,
Christine Dumitriu Van Saanen,Bucharest,44.41336111111111,26.09777777777778,Canada,56,-109,Christine Dumitriu Van Saanen,http://www.wikidata.org/entity/Q124961120,Sablier
Jean-Baptiste Mubalutila Mbizi,Democratic Republic of the Congo,-2.88,23.656111111111112,Canada,56,-109,Jean-Baptiste Mubalutila Mbizi,http://www.wikidata.org/entity/Q124957110,Tila à Toronto
Jean-Louis Grosmaire,Abidjan,5.3363888888889,-4.0266666666667,Canada,56,-109,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124957280,Les Petites Âmes
Rachna Gilmore,India,22.8,83,Canada,56,-109,Rachna Gilmore,http://www.wikidata.org/entity/Q124957043,Tante Frida est une sorcière
Annick Perrot-Bishop,Vietnam,16,108,Canada,56,-109,Annick Perrot-Bishop,http://www.wikidata.org/entity/Q125304459,Femme au profil d'arbre
Didier Périès,Toulouse,43.60444444444445,1.4433333333333334,France,47,2,Didier Périès,http://www.wikidata.org/entity/Q124957089,Mystères à Natagamau
,,,,Canada,56,-109,,,
Philippe Garigue,Manchester,53.466666666667,-2.2333333333333,United Kingdom,54.6,-2,Philippe Garigue,http://www.wikidata.org/entity/Q124957046,Le Temps de l'intelligence
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
,,,,Canada,56,-109,,,
David Baudemont,Thann,47.806666666667,7.1044444444444,Canada,56,-109,David Baudemont,http://www.wikidata.org/entity/Q124957078,Les Pierres du Nil
Sergio Kokis,Rio de Janeiro,-22.91111111111111,-43.205555555555556,Canada,56,-109,Sergio Kokis,http://www.wikidata.org/entity/Q124957269,Le Pavillon des miroirs
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124957082,L'Incroyable Aventure d'Axel le noyé
,,,,France,47,2,,,
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124957266,Le Passé dépassé
,,,,France,47,2,,,
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124957284,Le Phylactère fou
,,,,France,47,2,,,
Françoise Lepage,Saint-Amand-Montrond,46.722777777778,2.505,France,47,2,Françoise Lepage,http://www.wikidata.org/entity/Q125570675,Sébastien de French Hill
Françoise Lepage,Saint-Amand-Montrond,46.722777777778,2.505,France,47,2,Françoise Lepage,http://www.wikidata.org/entity/Q125570991,Sébastien de French Hill
