author,place of birth,pob_Latitude,pob_Longitude,country of citizenship,coc_Latitude,coc_Longitude,authorLabel,work,workTitle
Édouard Baudry,Ghent,51.05361111111111,3.725277777777778,Belgium,50.641111111111,4.6680555555556,Édouard Baudry,http://www.wikidata.org/entity/Q105429881,Rue Principale
François-Edme Rameau de Saint-Père,Gien,47.698055555556,2.625,France,47,2,François-Edme Rameau de Saint-Père,http://www.wikidata.org/entity/Q84850639,"Une colonie féodale en Amerique : l'Acadie, 1604-1881, volume I"
François-Edme Rameau de Saint-Père,Gien,47.698055555556,2.625,France,47,2,François-Edme Rameau de Saint-Père,http://www.wikidata.org/entity/Q84850659,"Une colonie féodale en Amerique : l'Acadie, 1604-1881, volume II"
Albert Larrieu,Perpignan,42.6975,2.8947222222222,France,47,2,Albert Larrieu,http://www.wikidata.org/entity/Q92074552,Au pays des érables
Adrien Rannaud,Lyon,45.7675,4.835,France,47,2,Adrien Rannaud,http://www.wikidata.org/entity/Q109479828,La révolution du magazine au Québec
,,,,Canada,56,-109,,,
Marie-Claire Blais,Quebec City,46.816111,-71.224167,Canada,56,-109,Marie-Claire Blais,http://www.wikidata.org/entity/Q110099057,Une saison dans la vie d'Emmanuel
,,,,France,47,2,,,
Marie-Claire Blais,Quebec City,46.816111,-71.224167,Canada,56,-109,Marie-Claire Blais,http://www.wikidata.org/entity/Q110099170,Une saison dans la vie d'Emmanuel
,,,,France,47,2,,,
Emil Ludwig,Wrocław,51.11,17.0325,Germany,51,10,Emil Ludwig,http://www.wikidata.org/entity/Q113572443,"Mackenzie King, esquisse d'un portrait"
,,,,Switzerland,46.798562,8.231973,,,
Henry de Puyjalon,Lot,44.558888888889,1.5763888888889,France,47,2,Henry de Puyjalon,http://www.wikidata.org/entity/Q109522802,Récits du Labrador
Walery Nowina,Poland,52,19,Canada,56,-109,Walery Nowina,http://www.wikidata.org/entity/Q124959027,Qu'il y ait du soleil pour tout le monde
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124958427,Le Colosse des neiges de Campbellton
,,,,France,47,2,,,
Maurice Henrie,Rockland,45.55,-75.2833,France,47,2,Maurice Henrie,http://www.wikidata.org/entity/Q124958417,Le Chuchotement des étoiles
,,,,Canada,56,-109,,,
Maurice Henrie,Rockland,45.55,-75.2833,France,47,2,Maurice Henrie,http://www.wikidata.org/entity/Q124959017,Petites Pierres blanches
,,,,Canada,56,-109,,,
Marie Liondor,France,47,2,Canada,56,-109,Marie Liondor,http://www.wikidata.org/entity/Q124958428,Le Grand Chaos
,,,,France,47,2,,,
Isabelle Regout,Braine-l'Alleud,50.6806,4.3717,Belgium,50.641111111111,4.6680555555556,Isabelle Regout,http://www.wikidata.org/entity/Q124959016,Petit Bonheur de chemin
,,,,Canada,56,-109,,,
Thomas De Koninck,Leuven,50.8775,4.704444,Canada,56,-109,Thomas De Koninck,http://www.wikidata.org/entity/Q124959026,Questions ultimes
,,,,Belgium,50.641111111111,4.6680555555556,,,
Rie Mochizuki,Akashi,34.64313888888889,134.99722222222223,Japan,35,136,Rie Mochizuki,http://www.wikidata.org/entity/Q124959091,La Princesse Isabelle et le Prince Bruno
,,34.682777777778,134.94027777778,,,,,,
Angèle Bassolé-Ouédraogo,Abidjan,5.3363888888889,-4.0266666666667,Ivory Coast,8,-6,Angèle Bassolé-Ouédraogo,http://www.wikidata.org/entity/Q124959052,Les Porteuses d'Afrique !
,,,,Canada,56,-109,,,
Hédi Bouraoui,Sfax,34.74,10.76,Canada,56,-109,Hédi Bouraoui,http://www.wikidata.org/entity/Q124959062,Cap Nord
,,,,French protectorate of Tunisia,36.8333,10.15,,,
,,,,Tunisia,34,10,,,
Melchior Mbonimpa,Burundi,-3.666667,29.816667,Canada,56,-109,Melchior Mbonimpa,http://www.wikidata.org/entity/Q124959092,La Terre sans mal
Jean-François Somain,Paris,48.85666666666667,2.352222222222222,France,47,2,Jean-François Somain,http://www.wikidata.org/entity/Q124959222,Le Plus Bel Amour du monde
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124959185,Ernest et les vitamines
,,,,France,47,2,,,
Brigitte Haentjens,Paris,48.85666666666667,2.352222222222222,France,47,2,Brigitte Haentjens,http://www.wikidata.org/entity/Q124959059,Blanchie
Pierre Léon,Ligré,47.112222222222,0.27527777777778,France,47,2,Pierre Léon,http://www.wikidata.org/entity/Q124959199,Faut-il tuer Aline Merlin ?
Maurice Henrie,Rockland,45.55,-75.2833,France,47,2,Maurice Henrie,http://www.wikidata.org/entity/Q124959076,Esprit de sel
,,,,Canada,56,-109,,,
Alain Raimbault,Paris,48.85666666666667,2.352222222222222,France,47,2,Alain Raimbault,http://www.wikidata.org/entity/Q124959089,La Jeune Lectrice
Leon-François Hoffmann,16th arrondissement of Paris,48.863611111111,2.2764888888889,France,47,2,Leon-François Hoffmann,http://www.wikidata.org/entity/Q124959229,Haïti
Alfred Siefer-Gaillardin,Strasbourg,48.573333333333,7.7522222222222,France,47,2,Alfred Siefer-Gaillardin,http://www.wikidata.org/entity/Q124959214,La France et la défense en Europe
Fabrice De Bruyne,City of Brussels,50.846666666666664,4.351666666666667,Belgium,50.641111111111,4.6680555555556,Fabrice De Bruyne,http://www.wikidata.org/entity/Q124959206,Le Chien et ses maîtres
,,,,Canada,56,-109,,,
Jean Lafontant,Pétionville,18.5125,-72.28528055555556,Haiti,19,-72.8,Jean Lafontant,http://www.wikidata.org/entity/Q124959080,Initiation thématique à la sociologie
,,,,Canada,56,-109,,,
Rie Mochizuki,Akashi,34.64313888888889,134.99722222222223,Japan,35,136,Rie Mochizuki,http://www.wikidata.org/entity/Q124847463,L'Inépuisable tremblement des vivants
,,34.682777777778,134.94027777778,,,,,,
Rie Mochizuki,Akashi,34.64313888888889,134.99722222222223,Japan,35,136,Rie Mochizuki,http://www.wikidata.org/entity/Q124847467,Mes Mots
,,34.682777777778,134.94027777778,,,,,,
Jaroslav Rudnyckyj,Przemyśl,49.78345,22.78424,Austria–Hungary,48.2075,16.365,Jaroslav Rudnyckyj,http://www.wikidata.org/entity/Q104878923,Слово й назва “Україна”
,,,,West Ukrainian People's Republic,50.45,30.5,,,
,,,,Ukrainian People's Republic,50.45,30.5,,,
,,,,Canada,56,-109,,,
Jean-François Somain,Paris,48.85666666666667,2.352222222222222,France,47,2,Jean-François Somain,http://www.wikidata.org/entity/Q124847451,Un baobab rouge
Sebastian Kneipp,Stephansried,47.9798,10.3089,Kingdom of Bavaria,48.13333333333,11.56666666667,Sebastian Kneipp,http://www.wikidata.org/entity/Q51497645,Ks. Kneippa Ziolka Lekarskie Do Nabycia w Polskim Skladzie bardzo tanio u Father Kneipp's medical herbs
Pierre Léon,Ligré,47.112222222222,0.27527777777778,France,47,2,Pierre Léon,http://www.wikidata.org/entity/Q124847435,Les Rognons du chat
Daniel Defoe,London,51.507222222222,-0.1275,Kingdom of England,52.066666666667,-1.3166666666667,Daniel Defoe,http://www.wikidata.org/entity/Q15056552,Робінзон Крузо
,,,,Kingdom of Great Britain,51.5,-0.13333333,,,
John Davidson,Aberdeen,57.15,-2.1,Canada,56,-109,John Davidson,http://www.wikidata.org/entity/Q51495427,Instructions on the collection and preservation of plants for private or school herbaria
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
,,,,United Kingdom,54.6,-2,,,
Monique Genuist,Lorraine,48.6,6.4872222222222,France,47,2,Monique Genuist,http://www.wikidata.org/entity/Q124847775,Racines de sable
,,,,Canada,56,-109,,,
Émile Zola,rue Saint-Joseph,48.8685,2.34444,France,47,2,Émile Zola,http://www.wikidata.org/entity/Q87324078,Мрія
Geneviève Georges,France,47,2,Canada,56,-109,Geneviève Georges,http://www.wikidata.org/entity/Q124847437,L'Oiseau et le Diamant
,,,,France,47,2,,,
Jean-Louis Grosmaire,Abidjan,5.3363888888889,-4.0266666666667,Canada,56,-109,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124847434,Les Petites Mains
Rohinton Mistry,Mumbai,19.075833333333332,72.8775,Canada,56,-109,Rohinton Mistry,http://www.wikidata.org/entity/Q48829,A Fine Balance
Rohinton Mistry,Mumbai,19.075833333333332,72.8775,Canada,56,-109,Rohinton Mistry,http://www.wikidata.org/entity/Q38213,Such a Long Journey
Emma Donoghue,Dublin,53.34972222222222,-6.260277777777778,Canada,56,-109,Emma Donoghue,http://www.wikidata.org/entity/Q2133301,Room
,,,,Ireland,53,-8,,,
Yann Martel,Salamanca,40.965,-5.664166666666667,Canada,56,-109,Yann Martel,http://www.wikidata.org/entity/Q374204,Life of Pi
Cory Doctorow,Toronto,43.670277777778,-79.386666666667,Canada,56,-109,Cory Doctorow,http://www.wikidata.org/entity/Q257260,
,,,,United Kingdom,54.6,-2,,,
,,,,United States,39.828175,-98.5795,,,
Brian Moore,Belfast,54.596666666666664,-5.93,United Kingdom,54.6,-2,Brian Moore,http://www.wikidata.org/entity/Q2254384,Black Robe
,,,,Canada,56,-109,,,
William Stewart Mitchell d’Urban,Topsham,50.686,-3.4651,United Kingdom,54.6,-2,William Stewart Mitchell d’Urban,http://www.wikidata.org/entity/Q51459630,Contributions to Canadian natural history
Louis Hémon,Brest,48.39,-4.4869444444444,France,47,2,Louis Hémon,http://www.wikidata.org/entity/Q1369094,Maria Chapdelaine
Joseph Frederick Whiteaves,Oxford,51.751944444444,-1.2577777777778,Canada,56,-109,Joseph Frederick Whiteaves,http://www.wikidata.org/entity/Q51459641,Contributions to Canadian palæontology volume I.
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
Thomas Rupert Jones,London,51.507222222222,-0.1275,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,Thomas Rupert Jones,http://www.wikidata.org/entity/Q51420777,Figures and descriptions of Canadian organic remains
John Vaughan Thompson,Berwick-upon-Tweed,55.76916666666666,-2.0025,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,John Vaughan Thompson,http://www.wikidata.org/entity/Q51420777,Figures and descriptions of Canadian organic remains
Horace Tassie Martin,Montreal,45.5033426,-73.5868411,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,Horace Tassie Martin,http://www.wikidata.org/entity/Q51374071,"Castorologia, or The history and traditions of the Canadian beaver"
Horace Tassie Martin,Montreal,45.5033426,-73.5868411,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,Horace Tassie Martin,http://www.wikidata.org/entity/Q51452925,"Castorologia, or The history and traditions of the Canadian beaver"
Yolande Jimenez,France,47,2,Canada,56,-109,Yolande Jimenez,http://www.wikidata.org/entity/Q124959306,Cette ville où je déambule
,,,,France,47,2,,,
Yann Martel,Salamanca,40.965,-5.664166666666667,Canada,56,-109,Yann Martel,http://www.wikidata.org/entity/Q124959238,L'Histoire de Pi
Shodja Eddin Ziaïan,Tehran,35.68888888888889,51.389722222222225,Canada,56,-109,Shodja Eddin Ziaïan,http://www.wikidata.org/entity/Q124959398,Contes iraniens islamisés
,,,,Iran,32,53,,,
Guy Armel Bayegnak,Cameroon,5.133333333333334,12.65,Canada,56,-109,Guy Armel Bayegnak,http://www.wikidata.org/entity/Q124959449,Le Plancher se dérobe
Melchior Mbonimpa,Burundi,-3.666667,29.816667,Canada,56,-109,Melchior Mbonimpa,http://www.wikidata.org/entity/Q124959402,Défis éthiques contemporains
Louenas Hassani,Béjaïa,36.75111111111111,5.064166666666667,Canada,56,-109,Louenas Hassani,http://www.wikidata.org/entity/Q124959333,La Coureuse des vents
,,,,Algeria,28,1,,,
