work,workLabel,author,authorLabel,Place of Birth,Place of Birth coordinates,ethnicity,ethnicityLabel,pubPlace,pubPlace coordinates,derivativeWork,derivativeWorkLabel,relationType,relationTypeLabel
The Last Report on the Miracles at Little No Horse,The Last Report on the Miracles at Little No Horse,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809100",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",,,,
The Mighty Red,The Mighty Red,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809101",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",The Mighty Red,The Mighty Red,http://www.wikidata.org/entity/P629,edition or translation of
The Night Watchman,The Night Watchman,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809102",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",,,,
The Painted Drum,The Painted Drum,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809103",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",,,,
The Plague of Doves,The Plague of Doves,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809104",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",,,,
The Red Convertible,The Red Convertible,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809105",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",,,,
The Round House,The Round House,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809106",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",,,,
Tracks,Tracks,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809107",Ojibwe,Ojibwe,Yellow Springs,"39.807078634761915, -83.88768355683182",Tracks,Tracks,http://www.wikidata.org/entity/P629,edition or translation of
The Unnatural and Accidental Women,The Unnatural and Accidental Women,Marie Clements,Marie Clements,Vancouver,"49.28257191175836, -123.12184724061609",Métis,Métis,Vancouver,"49.28190002904759, -123.12081727240904",,,,
Tombs of the Vanishing Indian,Tombs of the Vanishing Indian,Marie Clements,Marie Clements,Vancouver,"49.28257191175836, -123.12184724061609",Métis,Métis,Vancouver,"49.28190002904759, -123.12081727240904",,,,
