Unnamed: 0,query (5),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
,http://www.wikidata.org/entity/Q102438,Harry Potter and the Philosopher's Stone,based_on,2001-11-04T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q43361,Harry Potter and the Philosopher's Stone
,http://www.wikidata.org/entity/Q254851,Harry Potter and the Order of the Phoenix,based_on,2007-06-25T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q80817,Harry Potter and the Order of the Phoenix
,http://www.wikidata.org/entity/Q216930,Harry Potter,based_on,2001-11-04T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q8337,
,http://www.wikidata.org/entity/Q254851,Harry Potter and the Order of the Phoenix,based_on,2007-06-25T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q80817,Harry Potter and the Order of the Phoenix
,http://www.wikidata.org/entity/Q216930,Harry Potter,based_on,2001-11-04T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q8337,
,http://www.wikidata.org/entity/Q161687,Harry Potter and the Half-Blood Prince,based_on,2009-07-16T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q46887,Harry Potter and the Half-Blood Prince
,http://www.wikidata.org/entity/Q102244,Harry Potter and the Chamber of Secrets,based_on,2002-12-04T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q47209,Harry Potter and the Chamber of Secrets
,http://www.wikidata.org/entity/Q161687,Harry Potter and the Half-Blood Prince,based_on,2009-07-06T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q46887,Harry Potter and the Half-Blood Prince
,http://www.wikidata.org/entity/Q102244,Harry Potter and the Chamber of Secrets,based_on,2002-11-15T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q47209,Harry Potter and the Chamber of Secrets
,http://www.wikidata.org/entity/Q102448,Harry Potter and the Prisoner of Azkaban,based_on,2004-06-03T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q47598,Harry Potter and the Prisoner of Azkaban
,http://www.wikidata.org/entity/Q161687,Harry Potter and the Half-Blood Prince,based_on,2009-07-23T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q46887,Harry Potter and the Half-Blood Prince
,http://www.wikidata.org/entity/Q102244,Harry Potter and the Chamber of Secrets,based_on,2002-11-22T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q47209,Harry Potter and the Chamber of Secrets
,http://www.wikidata.org/entity/Q102448,Harry Potter and the Prisoner of Azkaban,based_on,2004-06-10T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q47598,Harry Potter and the Prisoner of Azkaban
,http://www.wikidata.org/entity/Q102244,Harry Potter and the Chamber of Secrets,based_on,2002-11-03T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q47209,Harry Potter and the Chamber of Secrets
,http://www.wikidata.org/entity/Q102225,Harry Potter and the Goblet of Fire,based_on,2022-11-03T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q46751,Harry Potter and the Goblet of Fire
,http://www.wikidata.org/entity/Q665733,Harry Potter and the Deathly Hallows – Part 1,based_on,2010-11-16T00:00:00Z,http://www.wikidata.org/entity/Q256,Turkish,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q46758,Harry Potter and the Deathly Hallows
