work,workLabel,origWork,origWorkLabel,relation,date,language,languageLabel,place,placeLabel,coord
http://www.wikidata.org/entity/Q114731651,Q114731651,http://www.wikidata.org/entity/Q672059,Henry VIII,edition_or_translation_of,1894-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114731739,Q114731739,http://www.wikidata.org/entity/Q652011,Richard III,edition_or_translation_of,1864-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114731743,Q114731743,http://www.wikidata.org/entity/Q652011,Richard III,edition_or_translation_of,1836-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114731747,Q114731747,http://www.wikidata.org/entity/Q652011,Richard III,edition_or_translation_of,1935-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114731750,Q114731750,http://www.wikidata.org/entity/Q652011,Richard III,edition_or_translation_of,1894-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114731753,Q114731753,http://www.wikidata.org/entity/Q652011,Richard III,edition_or_translation_of,1862-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114732045,Q114732045,http://www.wikidata.org/entity/Q643236,"Henry VI, Part 1",edition_or_translation_of,1893-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114732049,Q114732049,http://www.wikidata.org/entity/Q1236216,"Henry VI, Part 2",edition_or_translation_of,1893-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114732053,Q114732053,http://www.wikidata.org/entity/Q1241754,"Henry VI, Part 3",edition_or_translation_of,1893-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114732071,Q114732071,http://www.wikidata.org/entity/Q1241754,"Henry VI, Part 3",edition_or_translation_of,1894-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114732400,Q114732400,http://www.wikidata.org/entity/Q643236,"Henry VI, Part 1",edition_or_translation_of,1905-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114732426,Q114732426,http://www.wikidata.org/entity/Q1241754,"Henry VI, Part 3",edition_or_translation_of,1903-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114732429,Q114732429,http://www.wikidata.org/entity/Q1236216,"Henry VI, Part 2",edition_or_translation_of,1903-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114732460,Q114732460,http://www.wikidata.org/entity/Q272169,Titus Andronicus,edition_or_translation_of,1904-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114732703,Q114732703,http://www.wikidata.org/entity/Q272169,Titus Andronicus,edition_or_translation_of,1893-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114732718,Q114732718,http://www.wikidata.org/entity/Q272169,Titus Andronicus,edition_or_translation_of,1894-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114732722,Q114732722,http://www.wikidata.org/entity/Q272169,Titus Andronicus,edition_or_translation_of,1879-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114733134,Q114733134,http://www.wikidata.org/entity/Q1236216,"Henry VI, Part 2",edition_or_translation_of,1894-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114733137,Q114733137,http://www.wikidata.org/entity/Q643236,"Henry VI, Part 1",edition_or_translation_of,1894-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114733960,Q114733960,http://www.wikidata.org/entity/Q128610,Love's Labour's Lost,edition_or_translation_of,1894-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114734255,Q114734255,http://www.wikidata.org/entity/Q649562,Richard II,edition_or_translation_of,1906-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114734295,Q114734295,http://www.wikidata.org/entity/Q128610,Love's Labour's Lost,edition_or_translation_of,1873-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114748211,Q114748211,http://www.wikidata.org/entity/Q495954,Henry V,edition_or_translation_of,1863-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114748294,Q114748294,http://www.wikidata.org/entity/Q495954,Henry V,edition_or_translation_of,1893-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114748303,Q114748303,http://www.wikidata.org/entity/Q495954,Henry V,edition_or_translation_of,1894-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114748319,Q114748319,http://www.wikidata.org/entity/Q495954,Henry V,edition_or_translation_of,1904-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114751529,Q114751529,http://www.wikidata.org/entity/Q652011,Richard III,edition_or_translation_of,1868-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114751761,Q114751761,http://www.wikidata.org/entity/Q652011,Richard III,edition_or_translation_of,1893-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q60300087,The Tragedy of Antony and Cleopatra,http://www.wikidata.org/entity/Q606830,Antony and Cleocaca,edition_or_translation_of,1921-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q60300717,The Life of Timon of Athens,http://www.wikidata.org/entity/Q284641,Timon of Athens,edition_or_translation_of,1919-11-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q60301976,The Tragedy of Julius Cæsar,http://www.wikidata.org/entity/Q215750,Julius Caesar,edition_or_translation_of,1919-05-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q60319024,The First Part of King Henry the Sixth,http://www.wikidata.org/entity/Q643236,"Henry VI, Part 1",edition_or_translation_of,1918-12-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q60319050,The Third Part of King Henry the Sixth,http://www.wikidata.org/entity/Q1241754,"Henry VI, Part 3",edition_or_translation_of,1923-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q60321771,The Tragedy of Macbeth,http://www.wikidata.org/entity/Q130283,Macbeth,edition_or_translation_of,1918-08-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q60532559,Kupiec wenecki,http://www.wikidata.org/entity/Q206400,The Merchant of Venice,edition_or_translation_of,1923-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q36036,Lviv,Point(24.032222222 49.8425)
