work,workLabel,origLang,origLangLabel,author,authorLabel,translatedWork,translatedWorkLabel,transLang,transLangLabel,pubPlace,pubPlaceLabel,pubCountry,pubCountryLabel
http://www.wikidata.org/entity/Q1099716,The Chronoliths,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q240786,Robert Charles Wilson,http://www.wikidata.org/entity/Q87407284,Q87407284,http://www.wikidata.org/entity/Q188,German,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104876505,"A fényességek (2016, Európa)",http://www.wikidata.org/entity/Q9067,Hungarian,http://www.wikidata.org/entity/Q1781,Budapest,http://www.wikidata.org/entity/Q28,Hungary
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104878736,"I luminari (2014, Fandango Libri)",http://www.wikidata.org/entity/Q652,Italian,http://www.wikidata.org/entity/Q220,Rome,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q630382,The Bonehunters,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q428755,Steven Erikson,http://www.wikidata.org/entity/Q112714741,Q112714741,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104876842,"Die Gestirne (2015, btb)",http://www.wikidata.org/entity/Q188,German,http://www.wikidata.org/entity/Q1726,Munich,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104875535,"Šviesuliai (2018, Baltos lankos)",http://www.wikidata.org/entity/Q9083,Lithuanian,http://www.wikidata.org/entity/Q216,Vilnius,http://www.wikidata.org/entity/Q37,Lithuania
http://www.wikidata.org/entity/Q4343791,Memories of Ice,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q428755,Steven Erikson,http://www.wikidata.org/entity/Q112706443,Q112706443,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q59590029,Cornelius Krieghoff: The Habitant Farm,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q6256012,John Russell Harper,http://www.wikidata.org/entity/Q59589859,Cornelius Krieghoff: The Habitant Farm,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q3656259,The Discovery of the Unconscious,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q115111,Henri Ellenberger,http://www.wikidata.org/entity/Q57979550,Q57979550,http://www.wikidata.org/entity/Q7737,Russian,http://www.wikidata.org/entity/Q649,Moscow,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104876190,"[The Luminaries] (2016, Am Oved)",http://www.wikidata.org/entity/Q9288,Hebrew,http://www.wikidata.org/entity/Q33935,Tel Aviv,http://www.wikidata.org/entity/Q801,Israel
