work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
http://www.wikidata.org/entity/Q33054032,Q33054032,edition_or_translation_of,1922-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q132816477,
http://www.wikidata.org/entity/Q48813347,Yates Thompson MS 36,edition_or_translation_of,1450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q2418863,Francesca da Rimini,based_on,2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,,,,,http://www.wikidata.org/entity/Q3798518,"Fifth song of Dante's ""Inferno"""
http://www.wikidata.org/entity/Q19128930,Boska Komedia,edition_or_translation_of,1870-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q56482998,Divina Commedia,edition_or_translation_of,1994-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q29368489,Francesca da Rimini,based_on,,,,,,,,,,http://www.wikidata.org/entity/Q4509219,Inferno
http://www.wikidata.org/entity/Q21191014,Divina Commedia,edition_or_translation_of,1994-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q85190120,Q85190120,edition_or_translation_of,1921-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q47535649,Q47535649,based_on,,,,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q56323523,Dante Estense,edition_or_translation_of,1380-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q128607386,Fragmente aus Danteʼs Büßungswelt,edition_or_translation_of,1796-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q605018,Purgatorio
http://www.wikidata.org/entity/Q33054032,Q33054032,edition_or_translation_of,1922-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q132816477,
http://www.wikidata.org/entity/Q21235319,Codex Landianus,edition_or_translation_of,1336-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q132887963,Q132887963,edition_or_translation_of,1910-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q132888075,
http://www.wikidata.org/entity/Q3637289,Beatrice Addressing Dante from the Car,based_on,1824-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q2665048,Dante and Virgil in Hell,based_on,1850-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q142,France,,,,,http://www.wikidata.org/entity/Q4509219,Inferno
http://www.wikidata.org/entity/Q48812366,Trivulziano Codex 1080,edition_or_translation_of,1337-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q5221207,Dante and Beatrice,based_on,1884-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q128603997,Ugolino und Ruggieri,edition_or_translation_of,1795-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q4509219,Inferno
http://www.wikidata.org/entity/Q18003128,The Thinker,based_on,1882-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q109244279,I sette peccati,based_on,,,,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q117170398,Q117170398,edition_or_translation_of,,http://www.wikidata.org/entity/Q143,Esperanto,,,,,,,http://www.wikidata.org/entity/Q3980923,
http://www.wikidata.org/entity/Q105962278,Dante Urbinate 365,edition_or_translation_of,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q50329279,Q50329279,edition_or_translation_of,,,,,,,,,,http://www.wikidata.org/entity/Q19984772,
http://www.wikidata.org/entity/Q632603,Dante's Dream,based_on,1871-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q18084,Vita Nuova
http://www.wikidata.org/entity/Q2418237,The Kiss,based_on,1880-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q107646697,Q107646697,edition_or_translation_of,2021-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7411,Dutch,,,,,,,http://www.wikidata.org/entity/Q4509219,Inferno
http://www.wikidata.org/entity/Q24036349,Dante's hell,based_on,1801-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
