work,Title,author link,Author,birthPlace link,Birth Place,Latitude,Longitude,birthCountry link,Birth Country
http://www.wikidata.org/entity/Q19443844,Q19443844,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q19449037,Q19449037,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q19449472,Q19449472,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q19455826,Q19455826,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q19457571,Q19457571,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q19459131,Q19459131,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q19459244,Q19459244,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q19469420,Q19469420,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q19484512,Q19484512,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q19484635,Q19484635,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q19491090,Toque de oración,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q19491720,Q19491720,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q19492667,Q19492667,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q50323275,Q50323275,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q50358532,Q50358532,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q50359470,Q50359470,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q50364474,Q50364474,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q65166143,The Empty Chalices,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q112062681,The White Book (Fragile),http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q124377684,Morning Songs,http://www.wikidata.org/entity/Q239458,Delmira Agustini,http://www.wikidata.org/entity/Q1335,Montevideo,,Montevideo,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q852760,Q852760,http://www.wikidata.org/entity/Q290491,Gioconda Belli,http://www.wikidata.org/entity/Q3274,Managua,,Managua,http://www.wikidata.org/entity/Q811,Nicaragua
http://www.wikidata.org/entity/Q5826131,The Scroll of Seduction,http://www.wikidata.org/entity/Q290491,Gioconda Belli,http://www.wikidata.org/entity/Q3274,Managua,,Managua,http://www.wikidata.org/entity/Q811,Nicaragua
